# time mbps
0 0.035104
1 0.103824
2 9.047664
3 2.687296
4 3.412624
5 0.667152
6 5.49608
7 8.496016
8 9.290672
9 6.3948
10 7.050672
11 4.196576
12 5.76748
13 1.839936
14 5.987568
15 8.38728
16 8.286496
17 4.268168
18 6.325752
19 6.8024
20 2.45048
21 8.852272
22 7.197224
23 3.906752
24 10.001736
25 9.999904
26 5.044488
27 9.993768
28 10.009992
29 9.997912
30 9.994248
31 10.004384
32 7.82008
33 5.186224
34 0.000336
35 0.0
36 0.031344
37 3.855776
38 9.99724
39 8.203592
40 8.468408
41 10.00304
42 6.155344
43 0.715584
44 3.981072
45 9.996488
46 2.429616
47 6.038104
48 10.001336
49 10.004432
50 4.568616
51 0.683056
52 0.53712
53 3.98136
54 10.006624
55 6.1514
56 8.695648
57 9.153608
58 9.163968
59 3.573504
60 0.27824
61 0.166192
62 0.252256
63 7.64024
64 8.056048
65 9.550992
66 8.923488
67 4.066544
68 4.39852
69 1.703608
70 9.077176
71 9.995912
72 9.705744
73 2.430064
74 6.37564
75 7.877456
76 4.58992
77 3.27972


# time mbps
0 0.019536
1 5.64336
2 3.4708
3 4.352624
4 2.34768
5 0.01312
6 6.383152
7 3.343152
8 2.500632
9 2.9874
10 2.22828
11 6.008296
12 10.005392
13 9.189304
14 9.312648
15 6.699344
16 6.641792
17 5.554384
18 6.082424
19 2.839624
20 4.091216
21 8.22256
22 6.938192
23 8.63064
24 6.763456
25 3.2728
26 6.941904
27 7.114648
28 7.166696
29 9.12832
30 8.709344
31 9.140368
32 7.055856
33 5.66288
34 7.760672
35 2.626928
36 1.073384
37 3.20888
38 6.537496
39 6.704336
40 8.680992
41 6.360784
42 6.822112
43 7.358168
44 6.735944
45 3.787464
46 6.459312
47 5.546752
48 6.643184
49 8.167024
50 6.465952
51 5.823752
52 2.107056
53 3.247104
54 5.503832
55 8.792728
56 4.027096
57 2.474656
58 6.084568
59 10.003064
60 10.002944
61 9.991496
62 10.009592
63 9.994784
64 10.00356
65 5.553768
66 0.888272
67 0.65516
68 2.68744
69 9.261856
70 6.728648
71 4.254024
72 5.853208
73 9.01556
74 6.714408
75 3.046976
76 6.02188
77 9.318888


# time mbps
0 0.045632
1 0.422064
2 5.129832
3 3.87216
4 5.09008
5 0.45884
6 6.205312
7 4.816624
8 4.27904
9 7.588168
10 5.537712
11 8.408432
12 10.004568
13 9.996672
14 10.008776
15 9.232712
16 5.735288
17 10.004688
18 7.688048
19 4.110064
20 10.000744
21 9.993072
22 7.8692
23 9.62632
24 3.328408
25 1.442672
26 1.457368
27 0.248344
28 4.760592
29 9.738736
30 9.81832
31 9.576784
32 7.285048
33 2.381344
34 2.452632
35 1.170864
36 0.029328
37 3.66016
38 9.850136
39 8.567392
40 6.105416
41 8.491192
42 4.336456
43 5.746872
44 9.82868
45 2.647304
46 3.480632
47 8.18688
48 5.30064
49 7.359008
50 6.23428
51 4.56592
52 0.660168
53 8.103504
54 6.625512
55 4.328448
56 7.98184
57 8.766152
58 5.917584
59 5.472368
60 2.17172
61 5.96244
62 7.71872
63 9.570616
64 6.315528
65 5.354856
66 5.76904
67 3.833496
68 3.455952
69 3.21292
70 8.476488
71 7.833584
72 4.590344
73 3.593312
74 8.975808
75 3.463208
76 9.154488
77 9.058552


# time mbps
0 0.044128
1 0.28112
2 9.936736
3 2.99556
4 3.055232
5 0.147672
6 4.212064
7 10.002544
8 8.616424
9 6.88568
10 9.424528
11 2.437712
12 4.369696
13 2.416176
14 2.110752
15 9.996896
16 9.505512
17 6.532112
18 2.188696
19 10.008776
20 2.150888
21 4.428288
22 9.993296
23 4.526192
24 7.277056
25 10.002776
26 8.099232
27 1.871488
28 1.906936
29 2.114176
30 3.42424
31 7.313304
32 9.994984
33 10.001592
34 10.004712
35 5.484904
36 9.76696
37 10.001072
38 10.003336
39 10.003512
40 9.996672
41 5.811224
42 1.646384
43 6.19244
44 10.003992
45 9.994064
46 9.72524
47 6.95808
48 9.995264
49 2.143248
50 0.658128
51 0.643632
52 0.077488
53 9.2716
54 7.739392
55 10.006024
56 8.719592
57 6.987352
58 1.55344
59 1.393536
60 1.290088
61 0.163184
62 0.242144
63 8.947584
64 8.795048
65 9.999272
66 10.000416
67 4.817544
68 1.59124
69 1.95396
70 6.362992
71 9.252792
72 9.17692
73 4.165456
74 4.64144
75 9.992816
76 3.26088
77 2.27352


# time mbps
0 0.050144
1 0.707712
2 10.006464
3 7.500568
4 0.289328
5 0.152488
6 0.271472
7 7.254512
8 9.836016
9 9.998744
10 10.002464
11 9.724152
12 0.498944
13 0.415856
14 0.40984
15 0.403072
16 1.299784
