# time mbps
0 0.038544
1 5.46928
2 4.333488
3 1.902112
4 9.242944
5 8.45584
6 0.0396
7 8.04332
8 8.329896
9 9.257664
10 5.12452
11 8.486256
12 9.767952
13 9.78696
14 9.807232
15 9.788592
16 9.816392
17 5.915992
18 9.783096
19 7.371952
20 0.045936
21 5.451328
22 8.305576
23 9.486824
24 6.183048
25 8.930736
26 8.925832
27 9.776456
28 5.705928
29 9.591528
30 6.135096
31 6.052928
32 9.79588
33 8.66364
34 4.923888
35 0.079728
36 9.353536
37 9.800624
38 0.443008
39 6.058272
40 8.662128
41 9.575776
42 9.791584
43 6.239232
44 9.808608
45 9.784096
46 9.799776
47 9.79232
48 9.79152
49 9.3868
50 9.783688
51 9.813568
52 2.705344
53 0.048576
54 3.866864
55 8.256504
56 9.570584
57 7.67316
58 1.121952
59 8.212352


# time mbps
0 0.03304
1 5.15912
2 4.647328
3 1.992176
4 8.570584
5 9.04604
6 0.036432
7 7.945904
8 8.247728
9 8.964896
10 5.78748
11 8.721664
12 9.794288
13 9.219824
14 6.898704
15 8.100272
16 4.852256
17 6.470976
18 9.813824
19 9.788608
20 3.322256
21 0.12144
22 9.004384
23 9.082944
24 9.657936
25 9.809
26 9.212904
27 9.80752
28 9.796768
29 9.799152
30 9.787448
31 6.462264
32 9.421096
33 9.253592
34 0.146168
35 4.755664
36 8.953872
37 5.9288
38 3.10328
39 9.475608
40 8.560608
41 8.215608
42 8.397384
43 9.802792
44 9.792176
45 1.566256
46 7.20928
47 9.807976
48 3.054552
49 9.794688
50 9.805936
51 8.36256
52 8.311424
53 2.490736
54 0.104016
55 9.501992
56 6.595304
57 9.780624
58 3.516632
59 7.79008


# time mbps
0 0.03696
1 5.635872
2 4.166032
3 3.414432
4 7.586
5 8.623608
6 9.694896
7 9.807568
8 9.801792
9 5.9974
10 7.622912
11 9.419504
12 9.165016
13 1.24732
14 9.811712
15 8.933296
16 2.965536
17 9.812608
18 8.479576
19 6.901864
20 1.807408
21 8.211592
22 8.784408
23 8.761168
24 3.738248
25 9.452072
26 9.624216
27 8.718576
28 8.97752
29 8.953384
30 3.3868
31 8.257624
32 9.3272
33 9.129768
34 2.69112
35 2.353952
36 9.77944
37 9.638416
38 9.787104
39 9.800176
40 9.735104
41 3.887648
42 9.351736
43 9.79956
44 7.613752
45 3.435776
46 9.806192
47 6.42848
48 4.162032
49 9.782544
50 9.80488
51 8.301536
52 5.8682
53 1.440792
54 5.071136
55 9.804224
56 6.79388
57 7.620008
58 4.466664
59 5.428336


# time mbps
0 0.038352
1 5.446304
2 4.357184
3 2.251744
4 8.491072
5 8.872864
6 0.02904
7 8.246688
8 7.814384
9 8.822224
10 5.69844
11 8.70228
12 9.309344
13 9.03664
14 9.021744
15 7.676816
16 9.805312
17 9.808384
18 9.820464
19 5.657784
20 0.878312
21 5.232288
22 8.496168
23 8.951288
24 6.7238
25 8.316256
26 8.438336
27 9.805408
28 7.749528
29 8.433
30 6.337832
