# time mbps
0 0.037824
1 0.028704
2 0.026928
3 0.027984
4 0.02904
5 0.028016
6 0.027016
7 0.027984
8 0.027984
9 0.030096
10 0.03696
11 0.029568
12 0.030712
13 0.049664
14 0.06072
15 0.064944
16 0.060192
17 0.061248
18 0.041712
19 0.034936
20 0.06072
21 0.06336
22 0.058608
23 0.0528
24 0.058608
25 0.059136
26 8.3664
27 9.778624
28 9.830336
29 9.7976
30 9.809744
31 9.774928
32 9.808128
33 9.803968
34 9.830928
35 9.820896
36 9.22176
37 9.534888
38 3.892736
39 8.839976
40 3.868768
41 0.074976
42 0.056496
43 0.059664
44 0.055968
45 0.058608
46 0.087736
47 0.061248
48 0.060192
49 0.058608
50 0.053328
51 0.057024
52 0.029656
53 0.057024
54 0.060192
55 0.06072
56 0.054912
57 0.063888
58 0.051744


# time mbps
0 0.03304
1 0.025872
2 0.017424
3 0.017952
4 0.017984
5 0.017952
6 0.024816
7 0.063888
8 0.043368
9 0.030096
10 0.023232
11 0.029568
12 0.030624
13 0.050792
14 0.063888
15 0.064944
16 0.061248
17 0.062304
18 0.054912
19 0.033864
20 0.06072
21 0.061776
22 0.059136
23 0.05544
24 0.06072
25 0.061776
26 0.089304
27 0.0924
28 0.090816
29 0.093984
30 0.0924
31 0.067584
32 0.073496
33 0.093456
34 0.099792
35 0.09504
36 0.091344
37 0.070752
38 0.028584
39 0.004752
40 0.045408
41 0.056496
42 0.05808
43 0.0528
44 0.055968
45 0.059664
46 0.075048
47 0.061248
48 0.060192
49 0.05808
50 0.0528
51 0.059136
52 0.033792
53 9.011376
54 9.799216
55 9.807072
56 9.80496
57 9.816016
58 9.80552
59 9.80552


# time mbps
0 0.03696
1 0.027984
2 0.027984
3 0.02904
4 0.028544
5 0.028512
6 0.025432
7 0.027984
8 0.02904
9 0.029568
10 0.025344
11 0.028512
12 0.031712
13 6.709728
14 9.824992
15 9.786016
16 9.818128
17 9.807168
18 9.799712
19 9.822912
20 9.81344
21 9.8208
22 9.821856
23 8.536496
24 9.804992
25 9.825552
26 9.82136
27 9.835088
28 9.841952
29 9.814032
30 9.834032
31 6.63104
32 4.19696
33 7.644
34 2.911936
35 1.340728
36 0.950672
37 1.177104
38 0.74536
39 0.188496
40 0.160512
41 0.05808
42 0.05808
43 0.051216
44 0.056496
45 0.05808
46 0.074448
47 0.060192
48 0.059136
49 0.061248
50 0.054912
51 0.058608
52 0.027456
53 0.054912
54 0.063888
55 0.061248
56 0.053328
57 0.059136
58 0.052272


# time mbps
0 0.039072
1 0.027984
2 0.02904
3 0.027984
4 0.0296
5 0.027984
6 0.024376
7 0.027984
8 0.020592
9 0.017952
10 0.016896
11 0.017424
12 0.016928
13 0.035376
14 0.049632
15 0.05544
16 0.052448
17 0.049104
18 0.059664
19 0.1188
20 0.104632
21 0.069168
22 0.065472
23 0.06072
24 0.061776
25 0.062304
26 0.092488
27 0.096096
28 0.097712
29 0.093984
30 0.091344
31 0.09504
32 3.876832
33 9.7644
34 9.825584
35 9.800736
36 9.793904
37 9.798128
38 9.794632
39 3.222848
40 5.9764
41 9.801296
42 9.811792
43 9.601696
44 9.780208
45 9.829656
46 8.812528
47 0.941104
48 1.219712
49 0.134856
50 0.03696
51 0.046464
52 0.060896
53 0.133056
54 0.152064
55 0.05808
56 0.072336
57 0.057024
58 0.046496


# time mbps
0 0.040128
1 0.027456
2 0.027456
3 0.027984
