# time mbps
0 0.01928
1 0.008392
2 0.008272
3 0.012032
4 2.045424
5 3.65472
6 4.906544
7 3.177024
8 0.041376
9 0.006768
10 3.113952
11 6.238448
12 6.925776
13 7.228504
14 7.89652
15 6.492224
16 1.669552
17 0.892392
18 0.060928
19 3.915696
20 6.22248
21 6.592416
22 8.178032
23 6.703888
24 4.289976
25 7.001072
26 6.909144
27 7.108384
28 7.624752
29 6.765808
30 8.157104
31 8.678472
32 8.222352
33 8.992712
34 8.07292
35 6.649672
36 4.12648
37 1.709824
38 4.896392
39 5.96456
40 7.797592
41 6.215968
42 2.2118
43 0.117712
44 6.629168
45 4.578256
46 7.627008
47 5.64152
48 7.932296
49 4.71968
50 2.191912
51 7.10852
52 5.080696
53 8.519888
54 5.377592
55 5.609952
56 6.11392
57 7.183056
58 5.766792
59 3.584552
60 1.41212
61 3.798392
62 7.399672
63 2.81652
64 3.723304
65 7.438688
66 7.838928
67 4.752544
68 2.548928
69 7.699744
70 5.949248
71 6.646432
72 3.744824
73 4.727472
74 7.205712
75 3.650112
76 7.035304
77 5.595784
78 7.183776
79 7.1968
80 7.683472
81 6.170784
82 2.444592
83 0.106064
84 0.120688
85 3.953312
86 5.304136
87 6.52108
88 7.574944
89 7.844536
90 6.093032
91 3.957176
92 7.887344
93 7.85616
94 7.45744
95 7.644064
96 9.012592
97 8.845152
98 8.933288
99 7.238416
100 6.653432
101 6.109904
102 4.147424
103 2.02756
104 1.20576
105 0.157608
106 7.033184


# time mbps
0 0.017952
1 0.009896
2 0.008272
3 0.017296
4 0.668304
5 2.588144
6 3.878896
7 4.733112
8 1.8946
9 0.042128
10 4.183792
11 6.267536
12 6.83744
13 6.840344
14 7.670136
15 5.22676
16 1.634824
17 1.322864
18 0.447752
19 6.7044
20 5.022728
21 1.966144
22 6.262384
23 5.006432
24 7.317552
25 5.032416
26 2.939768
27 5.404968
28 6.617968
29 7.456088
30 7.665184
31 7.722808
32 7.74372
33 5.54776
34 3.888032
35 1.880424
36 5.757696
37 4.591272
38 6.035264
39 6.61944
40 4.423144
41 5.783264
42 7.778176
43 0.752008
44 3.399088
45 6.859
46 8.088312
47 7.118536
48 7.137152
49 7.523528
50 7.86664
51 6.47272
52 5.975104
53 5.46336
54 1.894504
55 5.087856
56 5.178096
57 3.938432
58 7.688072
59 8.482552
60 9.764144
61 8.47456
62 7.556648
63 7.620496
64 7.250608
65 6.870152
66 5.508808
67 6.05536
68 6.513128
69 8.6346
70 6.724296
71 8.223416
72 5.362288
73 1.112312
74 0.10112
75 5.338144
76 5.51028
77 3.183416
78 0.175904
79 5.781832
80 5.720304
81 4.25872
82 9.118424
83 9.132192
84 8.421792
85 6.38408
86 5.970864
87 6.09516
88 4.870648
89 1.466064
90 5.108792
91 6.7466
92 6.244024
93 7.103072
94 5.994048
95 6.15992
96 3.739328
97 0.318208
98 0.05264
99 0.057152
100 7.99192
101 7.980904
102 7.588488
103 7.575304
104 5.061512
105 2.436568
106 0.948552


# time mbps
0 0.020784
1 0.008392
2 0.008272
3 0.155728
4 2.717776
5 4.17008
6 5.337344
7 1.414816
8 0.075984
9 0.009776
10 3.480096
11 5.332176
12 6.1388
13 6.397376
14 7.189528
15 7.524568
16 7.935352
17 8.188768
18 8.150368
19 7.422736
20 6.223888
21 4.99232
22 3.373128
23 1.952592
24 4.41376
25 5.76448
26 3.576064
27 4.775752
28 7.467872
29 5.940608
30 6.398048
31 4.939152
32 5.309848
33 5.214216
34 5.66572
35 5.759024
36 6.58272
37 6.03968
38 3.114304
39 1.765728
40 6.360784
41 5.035152
42 5.267584
43 7.080128
44 7.662096
45 5.915464
46 5.343848
47 7.794648
48 4.919952
49 6.704728
50 3.425976
51 4.215968
52 7.721184
53 4.2466
54 5.300768
55 5.000184
56 5.35124
57 6.485784
58 6.948864
59 7.493336
60 8.164192
61 6.28292
62 2.866096
63 0.719304
64 0.195192
65 0.186056
66 9.062016
67 4.012176
68 6.5568
69 7.294856
70 7.283616
71 7.279752
72 5.649584
73 6.415952
74 7.744216
75 4.281208
76 7.056432
77 6.183592
78 7.233376
79 7.405912
80 5.314032
81 9.021352
82 9.861256
83 9.159288
84 8.216
85 6.855584
86 3.687704
87 2.846616
88 1.665176
89 5.270944
90 6.156672
91 6.678608
92 6.877288
93 6.625736
94 6.522904
95 4.923656
96 1.016256
97 5.060032
98 4.87932
99 6.609944
100 7.545064
101 6.99716
102 5.202424
103 3.259208
104 1.339784
105 0.202576
106 6.915312


# time mbps
0 0.019272
1 0.007608
2 0.004512
3 0.014288
4 1.401784
5 3.252464
6 4.57952
7 4.203608
8 0.400808
9 0.041936
10 2.966992
11 5.96384
12 6.328912
13 6.875184
14 7.62464
15 6.629152
16 2.14328
17 0.958224
18 4.559336
19 6.917128
20 6.040288
21 6.85656
22 7.762688
23 5.6914
24 2.885864
25 4.70992
26 6.491952
27 7.97396
28 8.097824
29 5.236288
30 4.112296
31 2.771848
32 1.409328
33 0.613512
34 5.092368
35 6.278784
36 7.1432
37 9.007672
38 9.1034
39 9.915376
40 9.825856
41 6.420648
42 5.798448
43 6.138264
44 5.604568
45 7.057624
46 7.632
47 2.932272
48 8.5298
49 5.930192
50 5.185008
51 5.202464
52 3.40736
53 0.556776
54 3.257648
55 6.299992
56 4.728232
57 7.001088
58 6.144352
59 7.684304
60 4.016
61 2.859016
62 7.107664
63 3.639112
64 3.307912
65 6.06196
66 7.163328
67 9.037136
68 8.38936
69 7.23964
70 4.6708
71 4.14324
72 7.593328
73 6.010152
74 4.446472
75 1.324608
76 8.193296
77 6.596088
78 7.859888
79 4.695104
80 8.1924
81 3.589488
82 6.123544
83 7.763168
84 8.046488
85 5.195384
86 9.248384
87 4.478824
88 1.669304
89 0.114336
90 1.885856
91 6.224656
92 4.46924
93 3.87804
94 5.768584
95 5.952032
96 7.54188
97 3.907664
98 1.826232
99 0.057904
100 0.098528
101 7.8748
102 7.569296
103 7.61408
104 9.892064
105 9.329584
106 8.97404


# time mbps
0 0.019232
1 0.010616
2 0.008272
3 0.589584
4 2.80304
5 3.873904
6 4.432272
7 2.137008
8 0.043632
9 0.040624
10 2.772384
11 5.953056
12 6.32208
13 6.9096
14 7.611344
15 7.353664
16 1.55608
17 5.869168
18 6.129824
19 7.087496
20 7.062112
21 6.384384
22 6.36932
23 3.366176
24 0.088016
25 0.051136
26 0.11584
27 5.421648
28 6.26252
29 7.5972
30 8.579336
31 7.343
32 3.466288
33 8.600008
34 7.617272
35 7.85056
36 9.67828
37 4.195272
38 5.849352
39 4.003728
40 5.059088
41 6.439752
42 5.389136
43 7.42912
44 9.094712
45 9.776904
46 6.911216
47 8.49492
48 7.12476
49 6.14112
50 2.794048
51 5.590552
52 5.908024
53 5.89936
54 7.155968
55 7.535312
56 5.921168
57 5.615264
58 2.878464
59 0.844504
60 4.441856
61 6.44608
62 4.498816
63 7.316592
64 3.601696
65 1.675184
66 7.449984
67 3.903392
68 1.620256
69 6.904768
70 6.086096
71 0.778848
72 7.611984
73 4.975608
74 1.181904
75 0.062416
76 3.3256
77 5.909544
78 3.333616
79 7.667272
80 7.29776
81 7.62552
82 7.800032
83 5.461384
84 3.635568
85 1.903664
86 0.805216
87 0.09516
88 1.903168
89 5.097392
90 6.470832
91 6.994632
92 7.531552
93 7.957
94 8.754888
95 8.10284
96 8.342688
97 7.03212
98 4.919376
99 8.060992
100 7.236272
101 8.272456
102 8.443608
103 8.176832
104 5.693712
105 1.68724
106 7.801448


# time mbps
0 1.918432
1 3.51848
2 4.510576
3 4.091576
4 0.848064
5 0.000336
6 0.0
7 0.0
8 0.038368
9 0.005264
10 0.13296
11 1.149312
12 5.630048
13 5.409072
14 6.428208
15 6.666416
16 8.217344
17 5.691824
18 1.384408
19 0.337896
20 4.190408
21 7.794752
22 1.986728
23 7.39968
24 4.560328
25 7.03636
26 3.649104
27 6.773104
28 6.507136
29 7.271376
30 7.7282
31 7.00784
32 6.235048
33 4.2728
34 7.342248
35 4.428928
36 8.579568
37 5.791432
38 6.44364
39 4.109176
40 6.796744
41 5.9008
42 2.304592
43 1.147096
44 2.210128
45 7.355032
46 7.050928
47 7.957744
48 7.460312
49 6.717784
50 6.286152
51 8.572352
52 5.572216
53 4.256072
54 6.259376
55 5.107968
56 4.552112
57 6.230024
58 5.576928
59 7.146888
60 5.491008
61 6.959816
62 8.372576
63 3.929016
64 5.79492
65 8.042952
66 9.023944
67 9.161432
68 9.600288
69 8.157408
70 6.299888
71 6.175008
72 4.344408
73 3.391072
74 1.345184
75 3.38104
76 5.882816
77 6.454544
78 6.672104
79 7.578184
80 6.701576
81 4.308152
82 0.912936
83 0.3112
84 7.617504
85 7.048896
86 7.926512
87 8.168016
88 4.720248
89 3.675272
90 4.826408
91 6.624656
92 8.177016
93 8.811888
94 7.939096
95 3.616248
96 0.95696
97 0.791456
98 4.562928
99 5.533352
100 6.819224
101 7.522664
102 8.0558
103 7.206256
104 1.545232
105 0.013536
106 6.571488


# time mbps
0 0.019952
1 0.009896
2 0.009776
3 1.867072
4 3.826736
5 5.256824
6 2.670944
7 0.119488
8 0.048848
9 0.00376
10 2.95696
11 6.420512
12 6.516688
13 7.055808
14 2.716816
15 6.976
16 5.728584
17 1.754584
18 0.525992
19 7.457504
20 4.476472
21 7.834176
22 5.28912
23 8.977744
24 9.81644
25 9.195016
26 9.384712
27 8.3866
28 6.014872
29 5.486984
30 2.155896
31 1.092024
32 6.092
33 5.573088
34 6.942664
35 7.537984
36 7.161464
37 6.373992
38 0.982528
39 0.07296
40 0.085352
41 2.715536
42 8.235616
43 2.087168
44 3.131712
45 7.32972
46 8.382984
47 7.581664
48 7.114888
49 6.867248
50 7.491552
51 5.554928
52 5.68544
53 8.046536
54 7.158552
55 6.395768
56 6.69328
57 5.929216
58 4.996464
59 5.221696
60 7.794112
61 7.662728
62 6.120616
63 8.2098
64 8.615088
65 4.69644
66 2.305272
67 6.651912
68 7.246096
69 6.37168
70 4.499112
71 1.292232
72 0.628688
73 0.860912
74 4.403328
75 5.416008
76 3.520944
77 0.98504
78 6.776624
79 7.365048
80 7.930064
81 7.923144
82 5.34552
83 6.707896
84 7.03436
85 7.0554
86 8.095696
87 7.380352
88 9.299352
89 8.884528
90 9.45552
91 8.752088
92 7.605128
93 5.504656
94 3.42956
95 1.146064
96 0.040624
97 0.051152
98 2.74656
99 6.215736
100 5.22284
101 7.500552
102 5.838616
103 8.137344
104 3.909792
105 1.195712
106 3.821528


# time mbps
0 0.017728
1 0.00836
2 0.00376
3 0.014288
4 1.334072
5 3.053344
6 4.403472
7 4.48204
8 0.559992
9 0.009024
10 4.633696
11 6.024888
12 6.584296
13 6.792096
14 7.423768
15 6.572104
16 1.623408
17 0.753208
18 6.167984
19 5.696464
20 6.630832
21 7.790648
22 5.179376
23 5.475192
24 2.502168
25 7.952384
26 7.354368
27 6.043432
28 7.55572
29 6.062584
30 3.711776
31 2.552432
32 6.50044
33 7.851904
34 8.310088
35 4.298536
36 5.50928
37 5.966968
38 5.685216
39 5.632512
40 3.940736
41 5.269992
42 5.69512
43 7.734464
44 8.56952
45 8.997632
46 9.194336
47 8.609936
48 7.7338
49 5.614632
50 4.565488
51 1.738656
52 0.007104
53 0.091776
54 4.759584
55 6.259576
56 5.556528
57 6.866064
58 7.78728
59 5.019608
60 2.86992
61 1.523352
62 0.178904
63 4.204352
64 4.909552
65 2.93504
66 2.775344
67 6.782912
68 7.327176
69 7.225864
70 6.66776
71 6.393168
72 6.059248
73 6.10376
74 7.108
75 8.91728
76 8.48552
77 6.274632
78 7.34468
79 8.030768
80 7.334544
81 5.062576
82 1.59696
83 5.987616
84 5.038264
85 4.839584
86 5.816776
87 3.46164
88 7.498
89 4.665136
90 3.551552
91 1.272016
92 3.782272
93 7.056832
94 7.878032
95 7.92432
96 6.231784
97 7.136496
98 6.280936
99 6.716896
100 7.410432
101 6.839128
102 5.853792
103 5.063016
104 3.077824
105 0.028576
106 0.074824


# time mbps
0 0.0192
1 0.009896
2 0.009776
3 1.007136
4 3.17144
5 4.346128
6 4.132696
7 1.100336
8 4.959472
9 6.390944
10 6.970816
11 8.047944
12 8.49508
13 7.192104
14 1.57916
15 1.087632
16 1.589456
17 8.582528
18 5.203104
19 7.087544
20 7.559408
21 6.689832
22 2.817968
23 0.682232
24 0.027824
25 0.053392
26 0.047376
27 0.060912
28 1.29
29 7.207968
30 6.874624
31 7.038048
32 8.366008
33 6.068896
34 7.252184
35 7.539984
36 8.582424
37 8.553624
38 5.182136
39 5.894368
40 5.853032
41 3.685936
42 1.666864
43 1.400296
44 3.7014
45 7.442064
46 7.26228
47 9.056176
48 8.582448
49 6.553744
50 6.278016
51 6.372544
52 8.403552
53 4.600304
54 7.875928
55 5.348456
56 8.6982
57 6.572056
58 7.20688
59 4.131616
60 1.59632
61 1.09264
62 6.593176
63 4.900088
64 2.366512
